Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/bantu-iroquois-uni.localresidence-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            629767900
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.localresidence-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.057971,0.304348,0.072464,0.565217)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-71.405858	359	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	1.723943	1.723943	1.723943	1.723943	1.723943	1.723943	1.723943	0.011549	0.332126	0.040063	0.616262	
12000	-69.631082	911	1	1	'0 0 0 0 0 Z 0 0 	D	0.881789	0.881789	0.881789	0.881789	0.881789	0.000000	0.881789	0.881789	0.038124	0.580767	0.003208	0.377901	
13000	-71.991229	573	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	1.776940	1.776940	1.776940	1.776940	1.776940	1.776940	1.776940	0.009655	0.351035	0.036405	0.602906	
14000	-70.795980	390	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.612967	1.612967	1.612967	1.612967	1.612967	1.612967	0.000000	0.402091	0.034550	0.563359	
15000	-71.478232	511	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	1.633318	1.633318	1.633318	1.633318	1.633318	1.633318	1.633318	0.005556	0.392072	0.027747	0.574625	
16000	-73.579715	249	1	2	'0 0 0 0 Z Z 0 0 	D	1.800297	1.800297	1.800297	1.800297	0.000000	0.000000	1.800297	1.800297	0.043057	0.580470	0.000000	0.376473	
17000	-70.537490	199	1	0	'0 0 0 0 0 0 0 0 	I	0.933909	0.933909	0.933909	0.933909	0.933909	0.933909	0.933909	0.933909	0.049032	0.597920	0.018467	0.334581	
18000	-71.352828	864	1	1	'0 0 Z 0 0 0 0 0 	D	1.992207	1.992207	0.000000	1.992207	1.992207	1.992207	1.992207	1.992207	0.062140	0.183529	0.094560	0.659771	
19000	-69.072998	461	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.363269	1.363269	1.363269	1.363269	1.363269	1.363269	0.000000	0.479692	0.021537	0.498770	
20000	-69.987976	507	1	1	'0 Z 0 0 0 0 0 0 	D	1.415989	0.000000	1.415989	1.415989	1.415989	1.415989	1.415989	1.415989	0.049319	0.448696	0.031543	0.470443	
