Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-omaha-patrilineal.bttrees
Data File Name:                  ./data/bantu-omaha-patrilineal.btdata
Log File Name:                   ./output/bantu-omaha-patrilineal-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4174610314
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-omaha-patrilineal-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.521739,0.362319,0.014493,0.101449)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-69.763960	227	1	2	'0 Z 0 0 0 0 Z 0 	D	1.879317	0.000000	1.879317	1.879317	1.879317	1.879317	0.000000	1.879317	0.782025	0.204139	0.006121	0.007715	
12000	-69.090552	523	1	2	'0 Z 0 0 0 0 Z 0 	D	2.229769	0.000000	2.229769	2.229769	2.229769	2.229769	0.000000	2.229769	0.743135	0.233569	0.007902	0.015394	
13000	-68.833977	72	1	2	'0 Z 0 0 0 0 Z 0 	D	1.484368	0.000000	1.484368	1.484368	1.484368	1.484368	0.000000	1.484368	0.833927	0.159948	0.003822	0.002302	
14000	-69.365895	354	1	1	'0 Z 0 0 0 0 0 0 	D	2.446320	0.000000	2.446320	2.446320	2.446320	2.446320	2.446320	2.446320	0.696815	0.255385	0.008980	0.038820	
15000	-70.273622	319	1	1	'0 Z 0 0 0 0 0 0 	D	4.138290	0.000000	4.138290	4.138290	4.138290	4.138290	4.138290	4.138290	0.586018	0.324526	0.012767	0.076690	
16000	-68.284997	197	1	2	'0 Z 0 0 Z 0 0 0 	D	2.904301	0.000000	2.904301	2.904301	0.000000	2.904301	2.904301	2.904301	0.748866	0.234724	0.000472	0.015939	
17000	-68.148884	776	1	3	'0 Z 0 0 Z Z 0 0 	D	2.435024	0.000000	2.435024	2.435024	0.000000	0.000000	2.435024	2.435024	0.770143	0.219909	0.000000	0.009948	
18000	-68.976209	756	1	3	'0 Z 0 0 Z Z 0 0 	D	2.463276	0.000000	2.463276	2.463276	0.000000	0.000000	2.463276	2.463276	0.790499	0.201662	0.000000	0.007839	
19000	-67.386370	13	1	2	'0 Z 0 0 0 0 Z 0 	D	1.809385	0.000000	1.809385	1.809385	1.809385	1.809385	0.000000	1.809385	0.810424	0.179494	0.005181	0.004901	
20000	-67.770623	52	1	1	'0 Z 0 0 0 0 0 0 	D	1.915894	0.000000	1.915894	1.915894	1.915894	1.915894	1.915894	1.915894	0.735878	0.231562	0.006727	0.025833	
21000	-68.848326	12	1	2	'0 Z 0 0 0 0 Z 0 	D	1.654427	0.000000	1.654427	1.654427	1.654427	1.654427	0.000000	1.654427	0.793609	0.196581	0.005037	0.004772	
22000	-69.625217	51	1	2	'0 Z 0 0 0 0 Z 0 	D	2.810282	0.000000	2.810282	2.810282	2.810282	2.810282	0.000000	2.810282	0.764085	0.215341	0.007547	0.013027	
23000	-68.930922	186	1	2	'0 Z 0 0 Z 0 0 0 	D	2.140682	0.000000	2.140682	2.140682	0.000000	2.140682	2.140682	2.140682	0.802808	0.189707	0.000102	0.007383	
24000	-68.531887	239	1	2	'0 Z 0 0 Z 0 0 0 	D	2.221811	0.000000	2.221811	2.221811	0.000000	2.221811	2.221811	2.221811	0.806136	0.186728	0.000094	0.007043	
25000	-69.631549	258	1	1	'0 Z 0 0 0 0 0 0 	D	3.479762	0.000000	3.479762	3.479762	3.479762	3.479762	3.479762	3.479762	0.639790	0.291627	0.011137	0.057446	
26000	-68.212347	919	1	3	'0 Z 0 0 Z Z 0 0 	D	1.985645	0.000000	1.985645	1.985645	0.000000	0.000000	1.985645	1.985645	0.795907	0.198209	0.000000	0.005884	
27000	-70.378122	796	1	1	'0 Z 0 0 0 0 0 0 	D	2.156979	0.000000	2.156979	2.156979	2.156979	2.156979	2.156979	2.156979	0.707478	0.249243	0.008296	0.034983	
28000	-67.412928	701	1	1	'0 Z 0 0 0 0 0 0 	D	2.807079	0.000000	2.807079	2.807079	2.807079	2.807079	2.807079	2.807079	0.644775	0.288936	0.010818	0.055471	
29000	-68.012346	99	1	2	'0 Z 0 0 Z 0 0 0 	D	2.884870	0.000000	2.884870	2.884870	0.000000	2.884870	2.884870	2.884870	0.716441	0.260250	0.000896	0.022413	
30000	-67.991989	763	1	2	'0 Z 0 0 Z 0 0 0 	D	2.826064	0.000000	2.826064	2.826064	0.000000	2.826064	2.826064	2.826064	0.760005	0.226210	0.000325	0.013459	
31000	-66.885979	710	1	2	'0 Z 0 0 0 0 Z 0 	D	2.604041	0.000000	2.604041	2.604041	2.604041	2.604041	0.000000	2.604041	0.778883	0.204577	0.006763	0.009778	
32000	-69.376575	944	1	2	'0 Z 0 0 0 0 Z 0 	D	2.284524	0.000000	2.284524	2.284524	2.284524	2.284524	0.000000	2.284524	0.790047	0.197555	0.005771	0.006627	
33000	-71.444623	1000	1	3	'0 Z 0 0 Z Z 0 0 	D	3.956255	0.000000	3.956255	3.956255	0.000000	0.000000	3.956255	3.956255	0.728926	0.255134	0.000000	0.015940	
34000	-68.766414	49	1	3	'0 Z 0 0 Z Z 0 0 	D	2.009197	0.000000	2.009197	2.009197	0.000000	0.000000	2.009197	2.009197	0.795733	0.197128	0.000000	0.007139	
35000	-69.357462	285	1	3	'0 Z 0 0 Z Z 0 0 	D	1.973961	0.000000	1.973961	1.973961	0.000000	0.000000	1.973961	1.973961	0.806427	0.188377	0.000000	0.005197	
36000	-71.847279	472	1	3	'0 Z 0 0 Z Z 0 0 	D	1.524892	0.000000	1.524892	1.524892	0.000000	0.000000	1.524892	1.524892	0.809876	0.185406	0.000000	0.004719	
37000	-68.160910	568	1	1	'0 Z 0 0 0 0 0 0 	D	3.766407	0.000000	3.766407	3.766407	3.766407	3.766407	3.766407	3.766407	0.623164	0.302368	0.011559	0.062909	
38000	-68.880836	635	1	4	'0 Z Z 0 Z Z 0 0 	D	1.877878	0.000000	0.000000	1.877878	0.000000	0.000000	1.877878	1.877878	1.000000	0.000000	0.000000	0.000000	
39000	-67.767197	599	1	3	'0 Z 0 0 Z Z 0 0 	D	3.016353	0.000000	3.016353	3.016353	0.000000	0.000000	3.016353	3.016353	0.758588	0.229909	0.000000	0.011504	
40000	-67.758000	458	1	1	'0 Z 0 0 0 0 0 0 	D	1.832217	0.000000	1.832217	1.832217	1.832217	1.832217	1.832217	1.832217	0.735315	0.231184	0.006945	0.026557	
41000	-68.787247	536	1	4	'0 Z Z 0 Z Z 0 0 	D	2.171059	0.000000	0.000000	2.171059	0.000000	0.000000	2.171059	2.171059	1.000000	0.000000	0.000000	0.000000	
42000	-70.136983	368	1	3	'0 Z 0 0 Z Z 0 0 	D	3.309024	0.000000	3.309024	3.309024	0.000000	0.000000	3.309024	3.309024	0.767117	0.222170	0.000000	0.010713	
43000	-68.618825	102	1	1	'0 Z 0 0 0 0 0 0 	D	3.515812	0.000000	3.515812	3.515812	3.515812	3.515812	3.515812	3.515812	0.654559	0.282652	0.010567	0.052222	
44000	-68.719450	303	1	2	'0 Z 0 0 Z 0 0 0 	D	2.874202	0.000000	2.874202	2.874202	0.000000	2.874202	2.874202	2.874202	0.739114	0.243181	0.000521	0.017184	
45000	-72.242569	503	1	2	'0 Z 0 0 Z 0 0 0 	D	5.113572	0.000000	5.113572	5.113572	0.000000	5.113572	5.113572	5.113572	0.660323	0.298014	0.002609	0.039055	
46000	-68.994705	661	1	2	'0 Z 0 0 0 0 Z 0 	D	3.164117	0.000000	3.164117	3.164117	3.164117	3.164117	0.000000	3.164117	0.763789	0.216227	0.007425	0.012560	
47000	-69.940669	995	2	2	'1 Z 0 0 1 1 Z 1 	D	2.588060	0.000000	1.771097	1.771097	2.588060	2.588060	0.000000	2.588060	0.749228	0.223778	0.008668	0.018326	
48000	-69.588073	886	1	1	'0 Z 0 0 0 0 0 0 	D	4.887224	0.000000	4.887224	4.887224	4.887224	4.887224	4.887224	4.887224	0.564743	0.337111	0.013377	0.084770	
49000	-69.824758	285	1	4	'0 Z 0 0 Z Z Z 0 	D	2.173972	0.000000	2.173972	2.173972	0.000000	0.000000	0.000000	2.173972	0.845578	0.154422	0.000000	0.000000	
