Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.680657	-1.680657
1	0.950747	750	-1.606003	-3.286660
2	0.926679	750	-1.587467	-4.874126
3	0.902980	750	-1.587073	-6.461200
4	0.879648	750	-1.547577	-8.008777
5	0.856682	750	-1.516452	-9.525229
6	0.834079	750	-1.518991	-11.044220
7	0.811838	750	-1.476974	-12.521194
8	0.789957	750	-1.462639	-13.983833
9	0.768433	750	-1.440265	-15.424098
10	0.747266	750	-1.432289	-16.856387
11	0.726452	750	-1.412403	-18.268791
12	0.705989	750	-1.381498	-19.650289
13	0.685877	750	-1.355661	-21.005949
14	0.666112	750	-1.356987	-22.362936
15	0.646693	750	-1.287010	-23.649946
16	0.627618	750	-1.302586	-24.952532
17	0.608884	750	-1.276003	-26.228536
18	0.590490	750	-1.259693	-27.488228
19	0.572433	750	-1.229437	-28.717666
20	0.554712	750	-1.212511	-29.930177
21	0.537324	750	-1.176585	-31.106762
22	0.520268	750	-1.182906	-32.289668
23	0.503540	750	-1.142606	-33.432274
24	0.487139	750	-1.109409	-34.541682
25	0.471063	750	-1.108775	-35.650457
26	0.455310	750	-1.078210	-36.728667
27	0.439877	750	-1.062713	-37.791380
28	0.424762	750	-1.018659	-38.810040
29	0.409963	750	-1.016236	-39.826275
30	0.395478	750	-0.982265	-40.808540
31	0.381305	750	-0.969279	-41.777819
32	0.367440	750	-0.991039	-42.768858
33	0.353883	750	-0.940667	-43.709525
34	0.340630	750	-0.906219	-44.615744
35	0.327680	750	-0.914652	-45.530396
36	0.315030	750	-0.870888	-46.401283
37	0.302677	750	-0.863451	-47.264735
38	0.290619	750	-0.864900	-48.129635
39	0.278855	750	-0.854870	-48.984505
40	0.267381	750	-0.845216	-49.829720
41	0.256195	750	-0.803305	-50.633025
42	0.245294	750	-0.761406	-51.394431
43	0.234677	750	-0.751207	-52.145638
44	0.224340	750	-0.724079	-52.869717
45	0.214281	750	-0.725552	-53.595270
46	0.204498	750	-0.689617	-54.284887
47	0.194988	750	-0.664854	-54.949741
48	0.185749	750	-0.646546	-55.596286
49	0.176777	750	-0.621470	-56.217757
50	0.168070	750	-0.607880	-56.825637
51	0.159626	750	-0.764655	-57.590292
52	0.151441	750	-0.589866	-58.180158
53	0.143514	750	-0.565955	-58.746113
54	0.135841	750	-0.540065	-59.286178
55	0.128420	750	-0.585397	-59.871575
56	0.121247	750	-0.540160	-60.411734
57	0.114320	750	-0.509067	-60.920801
58	0.107637	750	-0.532890	-61.453691
59	0.101193	750	-0.453437	-61.907128
60	0.094986	750	-0.564311	-62.471439
61	0.089014	750	-0.467807	-62.939246
62	0.083273	750	-0.486504	-63.425749
63	0.077760	750	-0.430332	-63.856082
64	0.072472	750	-0.379990	-64.236072
65	0.067406	750	-0.381602	-64.617674
66	0.062558	750	-0.439097	-65.056771
67	0.057926	750	-0.399548	-65.456319
68	0.053506	750	-0.346029	-65.802347
69	0.049295	750	-0.332477	-66.134824
70	0.045289	750	-0.329896	-66.464720
71	0.041485	750	-0.324996	-66.789716
72	0.037880	750	-0.293424	-67.083140
73	0.034469	750	-0.276991	-67.360131
74	0.031250	750	-0.238778	-67.598909
75	0.028218	750	-0.262062	-67.860971
76	0.025370	750	-0.244376	-68.105347
77	0.022702	750	-0.233386	-68.338734
78	0.020209	750	-0.225863	-68.564597
79	0.017889	750	-0.212262	-68.776858
80	0.015736	750	-0.221870	-68.998728
81	0.013746	750	-0.190163	-69.188891
82	0.011916	750	-0.170761	-69.359652
83	0.010240	750	-0.153715	-69.513367
84	0.008714	750	-0.149717	-69.663085
85	0.007334	750	-0.138798	-69.801883
86	0.006093	750	-0.109108	-69.910990
87	0.004988	750	-0.120061	-70.031052
88	0.004013	750	-0.097041	-70.128093
89	0.003162	750	-0.100900	-70.228993
90	0.002430	750	-0.076296	-70.305289
91	0.001810	750	-0.058773	-70.364062
92	0.001296	750	-0.110448	-70.474510
93	0.000882	750	-0.047529	-70.522039
94	0.000559	750	-0.289313	-70.811352
95	0.000320	750	-0.097934	-70.909286
96	0.000156	750	-0.030763	-70.940049
97	0.000057	750	-0.013476	-70.953525
98	0.000010	750	-0.005419	-70.958944
99	0.000000	750	-0.001758	-70.960702
Log marginal likelihood:	-70.960702
