Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
811	0.310727	189	0.661376	1.712643	811	0.310727	0.377000	0.312699	
814	0.315725	186	0.698925	1.712643	814	0.315725	0.387000	0.318890	
818	0.290954	182	0.796703	1.712643	818	0.290954	0.383000	0.323821	
781	0.318822	219	0.703196	1.712643	781	0.318822	0.403000	0.329476	
807	0.257745	193	0.761658	1.712643	807	0.257745	0.355000	0.331178	
814	0.283784	186	0.731183	1.712643	814	0.283784	0.367000	0.333417	
795	0.295597	205	0.800000	1.712643	795	0.295597	0.399000	0.337274	
789	0.281369	211	0.729858	1.712643	789	0.281369	0.376000	0.339426	
805	0.274534	195	0.728205	1.712643	805	0.274534	0.363000	0.340666	
804	0.262438	196	0.719388	1.712643	804	0.262438	0.352000	0.341233	
809	0.304079	191	0.801047	1.712643	809	0.304079	0.399000	0.343984	
824	0.290049	176	0.789773	1.712643	824	0.290049	0.378000	0.345530	
805	0.274534	195	0.733333	1.712643	805	0.274534	0.364000	0.346333	
793	0.267339	207	0.729469	1.712643	793	0.267339	0.363000	0.347027	
788	0.274112	212	0.731132	1.712643	788	0.274112	0.371000	0.347986	
827	0.308343	173	0.774566	1.712643	827	0.308343	0.389000	0.349563	
821	0.355664	179	0.715084	1.712643	821	0.355664	0.420000	0.352172	
835	0.270659	165	0.757576	1.712643	835	0.270659	0.351000	0.352130	
808	0.314356	192	0.776042	1.712643	808	0.314356	0.403000	0.353884	
829	0.271411	171	0.736842	1.712643	829	0.271411	0.351000	0.353788	
816	0.270833	184	0.798913	1.712643	816	0.270833	0.368000	0.354247	
801	0.292135	199	0.758794	1.712643	801	0.292135	0.385000	0.355208	
838	0.309069	162	0.709877	1.712643	838	0.309069	0.374000	0.355777	
809	0.255871	191	0.774869	1.712643	809	0.255871	0.355000	0.355754	
813	0.298893	187	0.721925	1.712643	813	0.298893	0.378000	0.356390	
806	0.305211	194	0.778351	1.712643	806	0.305211	0.397000	0.357518	
814	0.297297	186	0.666667	1.712643	814	0.297297	0.366000	0.357747	
