Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.707307	-0.707307
1	0.950747	750	-0.695723	-1.403030
2	0.926679	750	-0.692894	-2.095924
3	0.902980	750	-0.712008	-2.807932
4	0.879648	750	-0.671310	-3.479243
5	0.856682	750	-0.675382	-4.154625
6	0.834079	750	-0.643945	-4.798570
7	0.811838	750	-0.639133	-5.437703
8	0.789957	750	-0.638618	-6.076322
9	0.768433	750	-0.626920	-6.703241
10	0.747266	750	-0.611725	-7.314967
11	0.726452	750	-0.599580	-7.914547
12	0.705989	750	-0.593212	-8.507759
13	0.685877	750	-0.609200	-9.116958
14	0.666112	750	-0.571076	-9.688034
15	0.646693	750	-0.563202	-10.251236
16	0.627618	750	-0.561313	-10.812549
17	0.608884	750	-0.556740	-11.369290
18	0.590490	750	-0.542691	-11.911981
19	0.572433	750	-0.534323	-12.446305
20	0.554712	750	-0.523081	-12.969385
21	0.537324	750	-0.517616	-13.487002
22	0.520268	750	-0.501442	-13.988444
23	0.503540	750	-0.504201	-14.492644
24	0.487139	750	-0.485223	-14.977868
25	0.471063	750	-0.489976	-15.467844
26	0.455310	750	-0.468737	-15.936581
27	0.439877	750	-0.460449	-16.397031
28	0.424762	750	-0.456854	-16.853885
29	0.409963	750	-0.446978	-17.300863
30	0.395478	750	-0.435318	-17.736181
31	0.381305	750	-0.427517	-18.163698
32	0.367440	750	-0.422831	-18.586529
33	0.353883	750	-0.422325	-19.008854
34	0.340630	750	-0.397900	-19.406753
35	0.327680	750	-0.409951	-19.816704
36	0.315030	750	-0.386370	-20.203074
37	0.302677	750	-0.378740	-20.581814
38	0.290619	750	-0.368435	-20.950250
39	0.278855	750	-0.355198	-21.305447
40	0.267381	750	-0.359999	-21.665447
41	0.256195	750	-0.341550	-22.006996
42	0.245294	750	-0.336112	-22.343108
43	0.234677	750	-0.335779	-22.678888
44	0.224340	750	-0.330147	-23.009034
45	0.214281	750	-0.319714	-23.328748
46	0.204498	750	-0.320317	-23.649065
47	0.194988	750	-0.305564	-23.954629
48	0.185749	750	-0.293732	-24.248361
49	0.176777	750	-0.287486	-24.535846
50	0.168070	750	-0.281326	-24.817173
51	0.159626	750	-0.274301	-25.091474
52	0.151441	750	-0.274001	-25.365476
53	0.143514	750	-0.256397	-25.621873
54	0.135841	750	-0.257517	-25.879390
55	0.128420	750	-0.243288	-26.122678
56	0.121247	750	-0.237592	-26.360270
57	0.114320	750	-0.232873	-26.593143
58	0.107637	750	-0.231569	-26.824711
59	0.101193	750	-0.220254	-27.044965
60	0.094986	750	-0.217316	-27.262281
61	0.089014	750	-0.202004	-27.464285
62	0.083273	750	-0.198271	-27.662555
63	0.077760	750	-0.186819	-27.849375
64	0.072472	750	-0.181313	-28.030688
65	0.067406	750	-0.172615	-28.203303
66	0.062558	750	-0.171408	-28.374711
67	0.057926	750	-0.158010	-28.532721
68	0.053506	750	-0.154133	-28.686854
69	0.049295	750	-0.148144	-28.834998
70	0.045289	750	-0.148380	-28.983379
71	0.041485	750	-0.139144	-29.122523
72	0.037880	750	-0.126112	-29.248634
73	0.034469	750	-0.132798	-29.381432
74	0.031250	750	-0.118020	-29.499452
75	0.028218	750	-0.108648	-29.608100
76	0.025370	750	-0.106992	-29.715092
77	0.022702	750	-0.096949	-29.812041
78	0.020209	750	-0.091601	-29.903642
79	0.017889	750	-0.086472	-29.990114
80	0.015736	750	-0.081467	-30.071581
81	0.013746	750	-0.075596	-30.147178
82	0.011916	750	-0.067636	-30.214814
83	0.010240	750	-0.063077	-30.277891
84	0.008714	750	-0.059156	-30.337046
85	0.007334	750	-0.050305	-30.387352
86	0.006093	750	-0.047347	-30.434699
87	0.004988	750	-0.039859	-30.474558
88	0.004013	750	-0.040954	-30.515512
89	0.003162	750	-0.032000	-30.547512
90	0.002430	750	-0.028331	-30.575843
91	0.001810	750	-0.024696	-30.600538
92	0.001296	750	-0.020919	-30.621458
93	0.000882	750	-0.015234	-30.636691
94	0.000559	750	-0.012387	-30.649078
95	0.000320	750	-0.009774	-30.658853
96	0.000156	750	-0.006294	-30.665147
97	0.000057	750	-0.003700	-30.668846
98	0.000010	750	-0.001898	-30.670744
99	0.000000	750	-0.000360	-30.671104
Log marginal likelihood:	-30.671104
