Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.593946	-0.593946
1	0.950747	750	-0.591131	-1.185077
2	0.926679	750	-0.577464	-1.762541
3	0.902980	750	-0.579162	-2.341703
4	0.879648	750	-0.560031	-2.901735
5	0.856682	750	-0.552622	-3.454357
6	0.834079	750	-0.548350	-4.002706
7	0.811838	750	-0.552112	-4.554819
8	0.789957	750	-0.531590	-5.086409
9	0.768433	750	-0.520511	-5.606920
10	0.747266	750	-0.510324	-6.117243
11	0.726452	750	-0.509439	-6.626682
12	0.705989	750	-0.496804	-7.123486
13	0.685877	750	-0.500287	-7.623773
14	0.666112	750	-0.484785	-8.108558
15	0.646693	750	-0.479789	-8.588347
16	0.627618	750	-0.471865	-9.060212
17	0.608884	750	-0.456117	-9.516329
18	0.590490	750	-0.453693	-9.970022
19	0.572433	750	-0.455204	-10.425226
20	0.554712	750	-0.443247	-10.868472
21	0.537324	750	-0.430405	-11.298877
22	0.520268	750	-0.439435	-11.738312
23	0.503540	750	-0.416580	-12.154892
24	0.487139	750	-0.414857	-12.569749
25	0.471063	750	-0.409642	-12.979392
26	0.455310	750	-0.391619	-13.371011
27	0.439877	750	-0.383917	-13.754928
28	0.424762	750	-0.390027	-14.144955
29	0.409963	750	-0.373802	-14.518758
30	0.395478	750	-0.367408	-14.886166
31	0.381305	750	-0.355512	-15.241677
32	0.367440	750	-0.355741	-15.597419
33	0.353883	750	-0.349813	-15.947231
34	0.340630	750	-0.342766	-16.289998
35	0.327680	750	-0.333272	-16.623269
36	0.315030	750	-0.327376	-16.950645
37	0.302677	750	-0.321428	-17.272073
38	0.290619	750	-0.317487	-17.589560
39	0.278855	750	-0.310553	-17.900112
40	0.267381	750	-0.301580	-18.201693
41	0.256195	750	-0.297446	-18.499139
42	0.245294	750	-0.287004	-18.786142
43	0.234677	750	-0.299539	-19.085681
44	0.224340	750	-0.276414	-19.362095
45	0.214281	750	-0.270736	-19.632832
46	0.204498	750	-0.266368	-19.899200
47	0.194988	750	-0.263921	-20.163121
48	0.185749	750	-0.252399	-20.415520
49	0.176777	750	-0.247360	-20.662880
50	0.168070	750	-0.247332	-20.910212
51	0.159626	750	-0.235748	-21.145960
52	0.151441	750	-0.227761	-21.373720
53	0.143514	750	-0.230362	-21.604082
54	0.135841	750	-0.226871	-21.830954
55	0.128420	750	-0.199537	-22.030491
56	0.121247	750	-0.210196	-22.240686
57	0.114320	750	-0.201791	-22.442478
58	0.107637	750	-0.197988	-22.640466
59	0.101193	750	-0.200602	-22.841068
60	0.094986	750	-0.186464	-23.027532
61	0.089014	750	-0.185890	-23.213422
62	0.083273	750	-0.182840	-23.396262
63	0.077760	750	-0.176414	-23.572676
64	0.072472	750	-0.164100	-23.736776
65	0.067406	750	-0.151012	-23.887789
66	0.062558	750	-0.150937	-24.038726
67	0.057926	750	-0.141587	-24.180313
68	0.053506	750	-0.142008	-24.322322
69	0.049295	750	-0.141401	-24.463723
70	0.045289	750	-0.131940	-24.595663
71	0.041485	750	-0.126489	-24.722152
72	0.037880	750	-0.115624	-24.837776
73	0.034469	750	-0.111350	-24.949126
74	0.031250	750	-0.107103	-25.056229
75	0.028218	750	-0.098862	-25.155090
76	0.025370	750	-0.097387	-25.252477
77	0.022702	750	-0.090062	-25.342539
78	0.020209	750	-0.091305	-25.433844
79	0.017889	750	-0.077091	-25.510935
80	0.015736	750	-0.078781	-25.589716
81	0.013746	750	-0.067152	-25.656868
82	0.011916	750	-0.061108	-25.717976
83	0.010240	750	-0.059276	-25.777252
84	0.008714	750	-0.055724	-25.832976
85	0.007334	750	-0.054914	-25.887890
86	0.006093	750	-0.045074	-25.932964
87	0.004988	750	-0.039177	-25.972141
88	0.004013	750	-0.035367	-26.007508
89	0.003162	750	-0.032234	-26.039742
90	0.002430	750	-0.026829	-26.066571
91	0.001810	750	-0.022677	-26.089248
92	0.001296	750	-0.018711	-26.107960
93	0.000882	750	-0.016802	-26.124762
94	0.000559	750	-0.012562	-26.137324
95	0.000320	750	-0.009010	-26.146334
96	0.000156	750	-0.006739	-26.153073
97	0.000057	750	-0.003354	-26.156427
98	0.000010	750	-0.001678	-26.158105
99	0.000000	750	-0.000381	-26.158486
Log marginal likelihood:	-26.158486
