Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
824	0.341019	176	0.681818	1.858569	824	0.341019	0.401000	0.363967	
796	0.295226	204	0.735294	1.858569	796	0.295226	0.385000	0.365720	
834	0.310552	166	0.813253	1.858569	834	0.310552	0.394000	0.367895	
808	0.305693	192	0.812500	1.858569	808	0.305693	0.403000	0.370402	
823	0.289186	177	0.751412	1.858569	823	0.289186	0.371000	0.370442	
799	0.305382	201	0.805970	1.858569	799	0.305382	0.406000	0.372664	
825	0.317576	175	0.788571	1.858569	825	0.317576	0.400000	0.374272	
810	0.313580	190	0.742105	1.858569	810	0.313580	0.395000	0.375424	
806	0.312655	194	0.804124	1.858569	806	0.312655	0.408000	0.377138	
822	0.268856	178	0.820225	1.858569	822	0.268856	0.367000	0.376631	
818	0.303178	182	0.780220	1.858569	818	0.303178	0.390000	0.377268	
827	0.316808	173	0.745665	1.858569	827	0.316808	0.391000	0.377892	
814	0.304668	186	0.747312	1.858569	814	0.304668	0.387000	0.378288	
800	0.297500	200	0.770000	1.858569	800	0.297500	0.392000	0.378859	
804	0.283582	196	0.734694	1.858569	804	0.283582	0.372000	0.378585	
806	0.305211	194	0.845361	1.858569	806	0.305211	0.410000	0.379793	
809	0.309023	191	0.764398	1.858569	809	0.309023	0.396000	0.380393	
832	0.300481	168	0.761905	1.858569	832	0.300481	0.378000	0.380308	
791	0.318584	209	0.842105	1.858569	791	0.318584	0.428000	0.381952	
810	0.317284	190	0.742105	1.858569	810	0.317284	0.398000	0.382487	
811	0.305795	189	0.772487	1.858569	811	0.305795	0.394000	0.382859	
825	0.287273	175	0.771429	1.858569	825	0.287273	0.372000	0.382519	
825	0.298182	175	0.765714	1.858569	825	0.298182	0.380000	0.382443	
812	0.294335	188	0.686170	1.858569	812	0.294335	0.368000	0.382018	
819	0.260073	181	0.795580	1.858569	819	0.260073	0.357000	0.381303	
824	0.325243	176	0.801136	1.858569	824	0.325243	0.409000	0.382073	
818	0.282396	182	0.780220	1.858569	818	0.282396	0.373000	0.381828	
