Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.532378	-0.532378
1	0.950747	750	-0.512368	-1.044746
2	0.926679	750	-0.516589	-1.561335
3	0.902980	750	-0.477586	-2.038922
4	0.879648	750	-0.497580	-2.536502
5	0.856682	750	-0.489502	-3.026004
6	0.834079	750	-0.480811	-3.506815
7	0.811838	750	-0.476818	-3.983633
8	0.789957	750	-0.486151	-4.469784
9	0.768433	750	-0.474805	-4.944589
10	0.747266	750	-0.478720	-5.423309
11	0.726452	750	-0.466955	-5.890264
12	0.705989	750	-0.442697	-6.332961
13	0.685877	750	-0.459001	-6.791962
14	0.666112	750	-0.433009	-7.224971
15	0.646693	750	-0.437937	-7.662908
16	0.627618	750	-0.407276	-8.070184
17	0.608884	750	-0.414929	-8.485113
18	0.590490	750	-0.423387	-8.908499
19	0.572433	750	-0.400097	-9.308596
20	0.554712	750	-0.405834	-9.714429
21	0.537324	750	-0.387961	-10.102390
22	0.520268	750	-0.382864	-10.485255
23	0.503540	750	-0.389017	-10.874272
24	0.487139	750	-0.378681	-11.252953
25	0.471063	750	-0.367999	-11.620952
26	0.455310	750	-0.357096	-11.978048
27	0.439877	750	-0.348584	-12.326632
28	0.424762	750	-0.350918	-12.677550
29	0.409963	750	-0.343576	-13.021126
30	0.395478	750	-0.334464	-13.355591
31	0.381305	750	-0.324496	-13.680087
32	0.367440	750	-0.319000	-13.999087
33	0.353883	750	-0.314257	-14.313344
34	0.340630	750	-0.324783	-14.638127
35	0.327680	750	-0.303160	-14.941287
36	0.315030	750	-0.313208	-15.254495
37	0.302677	750	-0.298281	-15.552776
38	0.290619	750	-0.285925	-15.838701
39	0.278855	750	-0.278353	-16.117054
40	0.267381	750	-0.277696	-16.394750
41	0.256195	750	-0.290535	-16.685285
42	0.245294	750	-0.277391	-16.962676
43	0.234677	750	-0.260071	-17.222747
44	0.224340	750	-0.256307	-17.479053
45	0.214281	750	-0.255559	-17.734612
46	0.204498	750	-0.243723	-17.978335
47	0.194988	750	-0.235486	-18.213822
48	0.185749	750	-0.240287	-18.454108
49	0.176777	750	-0.227512	-18.681620
50	0.168070	750	-0.245132	-18.926753
51	0.159626	750	-0.232246	-19.158998
52	0.151441	750	-0.221676	-19.380674
53	0.143514	750	-0.194101	-19.574775
54	0.135841	750	-0.204892	-19.779668
55	0.128420	750	-0.201214	-19.980881
56	0.121247	750	-0.195988	-20.176869
57	0.114320	750	-0.188151	-20.365020
58	0.107637	750	-0.175833	-20.540853
59	0.101193	750	-0.189059	-20.729912
60	0.094986	750	-0.160421	-20.890333
61	0.089014	750	-0.167265	-21.057598
62	0.083273	750	-0.162284	-21.219882
63	0.077760	750	-0.158741	-21.378623
64	0.072472	750	-0.149691	-21.528314
65	0.067406	750	-0.144439	-21.672753
66	0.062558	750	-0.132571	-21.805324
67	0.057926	750	-0.131724	-21.937048
68	0.053506	750	-0.130080	-22.067128
69	0.049295	750	-0.125979	-22.193107
70	0.045289	750	-0.114545	-22.307652
71	0.041485	750	-0.117768	-22.425420
72	0.037880	750	-0.106323	-22.531742
73	0.034469	750	-0.107228	-22.638970
74	0.031250	750	-0.106560	-22.745530
75	0.028218	750	-0.094766	-22.840296
76	0.025370	750	-0.091102	-22.931398
77	0.022702	750	-0.085359	-23.016757
78	0.020209	750	-0.079469	-23.096226
79	0.017889	750	-0.079193	-23.175419
80	0.015736	750	-0.069191	-23.244610
81	0.013746	750	-0.061504	-23.306113
82	0.011916	750	-0.062761	-23.368875
83	0.010240	750	-0.058697	-23.427572
84	0.008714	750	-0.047110	-23.474682
85	0.007334	750	-0.045948	-23.520630
86	0.006093	750	-0.039641	-23.560271
87	0.004988	750	-0.035592	-23.595863
88	0.004013	750	-0.035401	-23.631264
89	0.003162	750	-0.026001	-23.657265
90	0.002430	750	-0.027125	-23.684390
91	0.001810	750	-0.021800	-23.706190
92	0.001296	750	-0.017307	-23.723498
93	0.000882	750	-0.014608	-23.738106
94	0.000559	750	-0.010063	-23.748169
95	0.000320	750	-0.007470	-23.755639
96	0.000156	750	-0.006262	-23.761901
97	0.000057	750	-0.003367	-23.765268
98	0.000010	750	-0.001612	-23.766880
99	0.000000	750	-0.000342	-23.767222
Log marginal likelihood:	-23.767222
